ITEM_CODE,DESCRIPTION,UNIT,QUANTITY,ACTUAL_UNIT_PRICE,ACTUAL_TOTAL,UNIT_PRICE_EST,ALTERNATE_USED,ABS_PCT_ERR,CONTRACT
601-12292,,,0.0,601.0,12292.0,,,,Bid-Tabs-8.6.25_8.13
601-94689,,,0.0,601.0,94689.0,,,,Bid-Tabs-8.6.25_8.13
602-06729,,,0.0,602.0,6729.0,,,,Bid-Tabs-8.6.25_8.13
603-06045,,,0.0,603.0,6045.0,,,,Bid-Tabs-8.6.25_8.13
604-06070,,,0.0,604.0,6070.0,,,,Bid-Tabs-8.6.25_8.13
605-06120,,,0.0,605.0,6120.0,,,,Bid-Tabs-8.6.25_8.13
609-06259,,,0.0,609.0,6259.0,,,,Bid-Tabs-8.6.25_8.13
610-07487,,,0.0,610.0,7487.0,300.0,False,0.5081967213114754,Bid-Tabs-8.6.25_8.13
615-06490,,,0.0,615.0,6490.0,,,,Bid-Tabs-8.6.25_8.13
615-06505,,,0.0,615.0,6505.0,1100.0,False,0.7886178861788617,Bid-Tabs-8.6.25_8.13
616-06405,,,0.0,616.0,6405.0,,,,Bid-Tabs-8.6.25_8.13
616-12246,,,0.0,616.0,12246.0,,,,Bid-Tabs-8.6.25_8.13
621-01004,,,0.0,621.0,1004.0,520.0,False,0.16264090177133655,Bid-Tabs-8.6.25_8.13
621-06560,,,0.0,621.0,6560.0,,,,Bid-Tabs-8.6.25_8.13
621-06565,,,0.0,621.0,6565.0,,,,Bid-Tabs-8.6.25_8.13
621-06574,,,0.0,621.0,6574.0,55.0,False,0.9114331723027376,Bid-Tabs-8.6.25_8.13
621-12612,,,0.0,621.0,12612.0,,,,Bid-Tabs-8.6.25_8.13
628-09401,,,0.0,628.0,9401.0,,,,Bid-Tabs-8.6.25_8.13
701-09558,,,0.0,701.0,9558.0,,,,Bid-Tabs-8.6.25_8.13
701-09560,,,0.0,701.0,9560.0,,,,Bid-Tabs-8.6.25_8.13
701-09663,,,0.0,701.0,9663.0,,,,Bid-Tabs-8.6.25_8.13
701-12304,,,0.0,701.0,12304.0,,,,Bid-Tabs-8.6.25_8.13
702-04325,,,0.0,702.0,4325.0,,,,Bid-Tabs-8.6.25_8.13
702-12076,,,0.0,702.0,12076.0,,,,Bid-Tabs-8.6.25_8.13
702-51005,,,0.0,702.0,51005.0,,,,Bid-Tabs-8.6.25_8.13
702-51015,,,0.0,702.0,51015.0,,,,Bid-Tabs-8.6.25_8.13
702-51046,,,0.0,702.0,51046.0,,,,Bid-Tabs-8.6.25_8.13
702-92857,,,0.0,702.0,92857.0,,,,Bid-Tabs-8.6.25_8.13
703-06028,,,0.0,703.0,6028.0,,,,Bid-Tabs-8.6.25_8.13
703-06029,,,0.0,703.0,6029.0,,,,Bid-Tabs-8.6.25_8.13
703-97936,,,0.0,703.0,97936.0,,,,Bid-Tabs-8.6.25_8.13
704-51002,,,0.0,704.0,51002.0,,,,Bid-Tabs-8.6.25_8.13
706-06351,,,0.0,706.0,6351.0,,,,Bid-Tabs-8.6.25_8.13
706-06351,,,0.0,706.0,6351.0,,,,Bid-Tabs-8.6.25_8.13
706-06353,,,0.0,706.0,6353.0,,,,Bid-Tabs-8.6.25_8.13
706-11404,,,0.0,706.0,11404.0,,,,Bid-Tabs-8.6.25_8.13
706-11418,,,0.0,706.0,11418.0,,,,Bid-Tabs-8.6.25_8.13
706-11602,,,0.0,706.0,11602.0,,,,Bid-Tabs-8.6.25_8.13
706-11604,,,0.0,706.0,11604.0,,,,Bid-Tabs-8.6.25_8.13
707-09921,,,0.0,707.0,9921.0,,,,Bid-Tabs-8.6.25_8.13
709-51821,,,0.0,709.0,51821.0,,,,Bid-Tabs-8.6.25_8.13
713-04331,,,0.0,713.0,4331.0,,,,Bid-Tabs-8.6.25_8.13
715-05118,,,0.0,715.0,5118.0,,,,Bid-Tabs-8.6.25_8.13
715-05149,,,0.0,715.0,5149.0,,,,Bid-Tabs-8.6.25_8.13
715-05407,,,0.0,715.0,5407.0,,,,Bid-Tabs-8.6.25_8.13
715-09064,,,0.0,715.0,9064.0,,,,Bid-Tabs-8.6.25_8.13
715-10238,,,0.0,715.0,10238.0,,,,Bid-Tabs-8.6.25_8.13
715-46000,,,0.0,715.0,46000.0,,,,Bid-Tabs-8.6.25_8.13
718-12309,,,0.0,718.0,12309.0,,,,Bid-Tabs-8.6.25_8.13
720-98174,,,0.0,720.0,98174.0,,,,Bid-Tabs-8.6.25_8.13
720-98555,,,0.0,720.0,98555.0,,,,Bid-Tabs-8.6.25_8.13
722-12732,,,0.0,722.0,12732.0,,,,Bid-Tabs-8.6.25_8.13
726-92406,,,0.0,726.0,92406.0,,,,Bid-Tabs-8.6.25_8.13
732-11770,,,0.0,732.0,11770.0,,,,Bid-Tabs-8.6.25_8.13
732-11811,,,0.0,732.0,11811.0,,,,Bid-Tabs-8.6.25_8.13
732-11812,,,0.0,732.0,11812.0,,,,Bid-Tabs-8.6.25_8.13
801-04308,,,0.0,801.0,4308.0,280.0,False,0.6504369538077404,Bid-Tabs-8.6.25_8.13
801-06625,,,0.0,801.0,6625.0,140.0,False,0.8252184769038702,Bid-Tabs-8.6.25_8.13
801-06640,,,0.0,801.0,6640.0,210.0,False,0.7378277153558053,Bid-Tabs-8.6.25_8.13
801-06775,,,0.0,801.0,6775.0,40000.0,False,48.93757802746567,Bid-Tabs-8.6.25_8.13
801-07118,,,0.0,801.0,7118.0,16.0,False,0.9800249687890137,Bid-Tabs-8.6.25_8.13
801-07119,,,0.0,801.0,7119.0,16.0,False,0.9800249687890137,Bid-Tabs-8.6.25_8.13
802-05704,,,0.0,802.0,5704.0,,,,Bid-Tabs-8.6.25_8.13
802-07059,,,0.0,802.0,7059.0,,,,Bid-Tabs-8.6.25_8.13
802-09838,,,0.0,802.0,9838.0,,,,Bid-Tabs-8.6.25_8.13
808-06713,,,0.0,808.0,6713.0,,,,Bid-Tabs-8.6.25_8.13
808-06714,,,0.0,808.0,6714.0,,,,Bid-Tabs-8.6.25_8.13
808-09314,,,0.0,808.0,9314.0,,,,Bid-Tabs-8.6.25_8.13
808-97222,,,0.0,808.0,97222.0,,,,Bid-Tabs-8.6.25_8.13
105-06845,,,0.0,105.0,6845.0,12000.0,False,113.28571428571429,Bid-Tabs-8.6.25_8.13
109-08359,,,0.0,109.0,8359.0,,,,Bid-Tabs-8.6.25_8.13
109-08360,,,0.0,109.0,8360.0,,,,Bid-Tabs-8.6.25_8.13
109-08440,,,0.0,109.0,8440.0,,,,Bid-Tabs-8.6.25_8.13
109-08443,,,0.0,109.0,8443.0,,,,Bid-Tabs-8.6.25_8.13
109-08444,,,0.0,109.0,8444.0,,,,Bid-Tabs-8.6.25_8.13
109-09489,,,0.0,109.0,9489.0,,,,Bid-Tabs-8.6.25_8.13
109-11362,,,0.0,109.0,11362.0,,,,Bid-Tabs-8.6.25_8.13
110-01001,,,0.0,110.0,1001.0,32000.0,False,289.90909090909093,Bid-Tabs-8.6.25_8.13
201-52370,,,0.0,201.0,52370.0,17000.0,False,83.57711442786069,Bid-Tabs-8.6.25_8.13
202-02240,,,0.0,202.0,2240.0,,,,Bid-Tabs-8.6.25_8.13
202-51328,,,0.0,202.0,51328.0,,,,Bid-Tabs-8.6.25_8.13
203-02000,,,0.0,203.0,2000.0,70.0,False,0.6551724137931034,Bid-Tabs-8.6.25_8.13
203-02070,,,0.0,203.0,2070.0,42.0,False,0.7931034482758621,Bid-Tabs-8.6.25_8.13
205-12108,,,0.0,205.0,12108.0,1.0,False,0.9951219512195122,Bid-Tabs-8.6.25_8.13
205-12616,,,0.0,205.0,12616.0,8000.0,False,38.02439024390244,Bid-Tabs-8.6.25_8.13
206-51230,,,0.0,206.0,51230.0,,,,Bid-Tabs-8.6.25_8.13
206-51235,,,0.0,206.0,51235.0,,,,Bid-Tabs-8.6.25_8.13
207-09935,,,0.0,207.0,9935.0,52.0,False,0.748792270531401,Bid-Tabs-8.6.25_8.13
211-09267,,,0.0,211.0,9267.0,,,,Bid-Tabs-8.6.25_8.13
214-12239,,,0.0,214.0,12239.0,7.0,False,0.9672897196261683,Bid-Tabs-8.6.25_8.13
302-06464,,,0.0,302.0,6464.0,,,,Bid-Tabs-8.6.25_8.13
303-01180,,,0.0,303.0,1180.0,100.0,False,0.66996699669967,Bid-Tabs-8.6.25_8.13
306-08034,,,0.0,306.0,8034.0,10.0,False,0.9673202614379085,Bid-Tabs-8.6.25_8.13
401-10258,,,0.0,401.0,10258.0,,,,Bid-Tabs-8.6.25_8.13
401-10259,,,0.0,401.0,10259.0,,,,Bid-Tabs-8.6.25_8.13
406-05521,,,0.0,406.0,5521.0,0.5,False,0.9987684729064039,Bid-Tabs-8.6.25_8.13
601-02241,,,0.0,601.0,2241.0,,,,Bid-Tabs-8.6.25_8.13
601-12292,,,0.0,601.0,12292.0,,,,Bid-Tabs-8.6.25_8.13
601-94689,,,0.0,601.0,94689.0,,,,Bid-Tabs-8.6.25_8.13
604-06070,,,0.0,604.0,6070.0,,,,Bid-Tabs-8.6.25_8.13
604-08086,,,0.0,604.0,8086.0,,,,Bid-Tabs-8.6.25_8.13
604-12083,,,0.0,604.0,12083.0,,,,Bid-Tabs-8.6.25_8.13
605-06150,,,0.0,605.0,6150.0,,,,Bid-Tabs-8.6.25_8.13
609-06259,,,0.0,609.0,6259.0,,,,Bid-Tabs-8.6.25_8.13
615-06505,,,0.0,615.0,6505.0,1100.0,False,0.7886178861788617,Bid-Tabs-8.6.25_8.13
616-05688,,,0.0,616.0,5688.0,110.0,False,0.8214285714285714,Bid-Tabs-8.6.25_8.13
616-06405,,,0.0,616.0,6405.0,,,,Bid-Tabs-8.6.25_8.13
616-12248,,,0.0,616.0,12248.0,8.0,False,0.987012987012987,Bid-Tabs-8.6.25_8.13
621-01004,,,0.0,621.0,1004.0,520.0,False,0.16264090177133655,Bid-Tabs-8.6.25_8.13
621-02770,,,0.0,621.0,2770.0,,,,Bid-Tabs-8.6.25_8.13
621-06560,,,0.0,621.0,6560.0,,,,Bid-Tabs-8.6.25_8.13
621-06567,,,0.0,621.0,6567.0,,,,Bid-Tabs-8.6.25_8.13
621-06574,,,0.0,621.0,6574.0,55.0,False,0.9114331723027376,Bid-Tabs-8.6.25_8.13
628-09401,,,0.0,628.0,9401.0,,,,Bid-Tabs-8.6.25_8.13
702-51863,,,0.0,702.0,51863.0,,,,Bid-Tabs-8.6.25_8.13
703-06029,,,0.0,703.0,6029.0,,,,Bid-Tabs-8.6.25_8.13
703-08247,,,0.0,703.0,8247.0,,,,Bid-Tabs-8.6.25_8.13
703-97936,,,0.0,703.0,97936.0,,,,Bid-Tabs-8.6.25_8.13
704-51002,,,0.0,704.0,51002.0,,,,Bid-Tabs-8.6.25_8.13
706-06372,,,0.0,706.0,6372.0,,,,Bid-Tabs-8.6.25_8.13
706-09965,,,0.0,706.0,9965.0,,,,Bid-Tabs-8.6.25_8.13
709-12077,,,0.0,709.0,12077.0,,,,Bid-Tabs-8.6.25_8.13
709-51821,,,0.0,709.0,51821.0,,,,Bid-Tabs-8.6.25_8.13
710-09158,,,0.0,710.0,9158.0,,,,Bid-Tabs-8.6.25_8.13
715-05052,,,0.0,715.0,5052.0,,,,Bid-Tabs-8.6.25_8.13
720-12798,,,0.0,720.0,12798.0,,,,Bid-Tabs-8.6.25_8.13
722-12732,,,0.0,722.0,12732.0,,,,Bid-Tabs-8.6.25_8.13
801-04308,,,0.0,801.0,4308.0,280.0,False,0.6504369538077404,Bid-Tabs-8.6.25_8.13
801-06625,,,0.0,801.0,6625.0,140.0,False,0.8252184769038702,Bid-Tabs-8.6.25_8.13
801-06640,,,0.0,801.0,6640.0,210.0,False,0.7378277153558053,Bid-Tabs-8.6.25_8.13
801-06645,,,0.0,801.0,6645.0,,,,Bid-Tabs-8.6.25_8.13
801-06775,,,0.0,801.0,6775.0,40000.0,False,48.93757802746567,Bid-Tabs-8.6.25_8.13
801-07118,,,0.0,801.0,7118.0,16.0,False,0.9800249687890137,Bid-Tabs-8.6.25_8.13
801-07119,,,0.0,801.0,7119.0,16.0,False,0.9800249687890137,Bid-Tabs-8.6.25_8.13
808-10033,,,0.0,808.0,10033.0,,,,Bid-Tabs-8.6.25_8.13
808-10036,,,0.0,808.0,10036.0,,,,Bid-Tabs-8.6.25_8.13
105-06845,,,0.0,105.0,6845.0,12000.0,False,113.28571428571429,Bid-Tabs-8.6.25_8.13
109-08359,,,0.0,109.0,8359.0,,,,Bid-Tabs-8.6.25_8.13
109-08360,,,0.0,109.0,8360.0,,,,Bid-Tabs-8.6.25_8.13
109-08440,,,0.0,109.0,8440.0,,,,Bid-Tabs-8.6.25_8.13
109-08443,,,0.0,109.0,8443.0,,,,Bid-Tabs-8.6.25_8.13
109-08444,,,0.0,109.0,8444.0,,,,Bid-Tabs-8.6.25_8.13
109-09489,,,0.0,109.0,9489.0,,,,Bid-Tabs-8.6.25_8.13
109-11362,,,0.0,109.0,11362.0,,,,Bid-Tabs-8.6.25_8.13
110-01001,,,0.0,110.0,1001.0,32000.0,False,289.90909090909093,Bid-Tabs-8.6.25_8.13
201-52370,,,0.0,201.0,52370.0,17000.0,False,83.57711442786069,Bid-Tabs-8.6.25_8.13
202-02240,,,0.0,202.0,2240.0,,,,Bid-Tabs-8.6.25_8.13
202-51328,,,0.0,202.0,51328.0,,,,Bid-Tabs-8.6.25_8.13
203-02000,,,0.0,203.0,2000.0,70.0,False,0.6551724137931034,Bid-Tabs-8.6.25_8.13
203-02070,,,0.0,203.0,2070.0,42.0,False,0.7931034482758621,Bid-Tabs-8.6.25_8.13
205-12108,,,0.0,205.0,12108.0,1.0,False,0.9951219512195122,Bid-Tabs-8.6.25_8.13
205-12616,,,0.0,205.0,12616.0,8000.0,False,38.02439024390244,Bid-Tabs-8.6.25_8.13
206-51230,,,0.0,206.0,51230.0,,,,Bid-Tabs-8.6.25_8.13
206-51235,,,0.0,206.0,51235.0,,,,Bid-Tabs-8.6.25_8.13
207-09935,,,0.0,207.0,9935.0,52.0,False,0.748792270531401,Bid-Tabs-8.6.25_8.13
211-09267,,,0.0,211.0,9267.0,,,,Bid-Tabs-8.6.25_8.13
